Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:60436195


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
60436195;1;01/01/2017;;1;1;"0,6308";"0,1341";"0,2708";19;11;1;1;1;"0,0";0;"0,1749";"0,1749";"0,154";"0,154";"0,154";"0,1749";"0,154";"0,1439";"0,1439";"0,1439";"0,1341";"0,1341";"0,1341";"0,2695";"0,411";"0,197";"0,3094";"0,2084";"0,6308";"0,3514";"0,2443";"0,2958";"0,411";"0,4422";"0,4265";"0,4744";"0,6125";"0,5416";"0,2443";"0,1749";"0,1749";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/08/2016;;1;1;"0,0739";"0,0519";"0,0587";24;8;0;0;1;;0;"0,0624";"0,0624";"0,0624";"0,0624";"0,0624";"0,0624";"0,0624";"0,0519";"0,0519";"0,0519";"0,0519";"0,0519";"0,0519";"0,0519";"0,0624";"0,0624";"0,0624";"0,0624";"0,0624";"0,0624";"0,0624";"0,0624";"0,0624";"0,0739";"0,0624";"0,0624";"0,0519";"0,0519";"0,0519";"0,0519";"0,0519";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/07/2016;;1;1;"0,1139";"0,0739";"0,0961";1;28;0;0;1;;0;"0,1139";"0,1139";"0,1139";"0,1139";"0,0996";"0,0996";"0,0996";"0,0996";"0,0996";"0,0996";"0,0996";"0,1139";"0,1139";"0,1139";"0,1139";"0,0996";"0,0996";"0,0996";"0,0863";"0,0863";"0,0863";"0,0863";"0,0863";"0,0863";"0,0863";"0,0863";"0,0863";"0,0739";"0,0739";"0,0739";"0,0739";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/06/2016;;1;1;"0,1291";"0,1139";"0,1217";1;14;0;0;1;;0;"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1214";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1139";"0,1291";"0,1291";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/05/2016;;1;1;;;;;;0;0;0;;0;"0,1622";"0,1622";"0,1452";"0,1452";"0,1452";"0,1452";"0,1452";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1139";"0,1139";"0,1139";;;;"0,2187";"0,199";"0,1622";"0,1622";"0,1622";"0,1622";"0,1452";"0,1452";"0,1452";"0,1452";"0,1452";"0,1452";"0,1452";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/03/2016;;1;1;;;;;;0;0;0;;0;"0,8003";"0,5567";"0,5889";"0,5567";"1,0646";"0,9178";"1,2689";"1,3166";"1,1759";"1,8408";"1,222";"1,1988";"1,5944";"1,3898";"1,1308";"0,9794";"0,8003";"0,6907";"0,6732";"0,6388";"0,5727";"0,5254";"0,495";"0,495";;;;"0,5101";"0,4227";"0,3954";"0,382";;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;
60436195;1;01/02/2016;;1;1;;;;;;0;0;0;;0;;;"0,3954";"0,3689";"0,3954";"0,9586";;;"0,9381";"0,5254";"0,4227";"0,4227";"0,382";"0,382";"2,5812";"0,7084";"0,4654";"0,382";"0,3434";"0,3309";"0,6219";"0,5567";"0,4801";"0,356";"0,3309";"0,3187";"1,7018";"0,5889";"1,8408";;;0;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;0;0
60436195;1;01/01/2016;;1;1;;;;;;0;0;0;;0;"0,2949";"0,7629";"0,3689";"0,199";"0,199";"0,1801";"0,1801";"0,2087";"0,1711";"0,137";"0,1291";"0,1291";"0,8778";"0,495";"0,25";"0,5101";"0,4801";"0,5254";"0,4654";;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
60436195;1;01/12/2015;;1;1;"1,8979";"0,0739";"0,2001";6;12;0;0;1;;0;"0,272";"0,1894";"0,0929";"0,1291";"0,6219";"0,8386";"0,2609";"0,199";"0,2187";"0,1452";"0,1139";"0,08";"0,2609";"0,0996";"0,0996";"0,0863";"0,0863";"0,0996";"0,08";"0,0739";"0,0863";"0,0739";"0,0863";"0,0996";"0,0996";"0,0996";"0,1139";"0,1622";"0,451";"0,5254";"0,356";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/11/2015;;1;1;;;;;;0;0;0;;0;"0,272";"0,199";"0,1622";"0,1214";"0,0863";"0,0863";"0,0519";"0,0519";"0,047";"0,047";"0,047";"0,0379";"0,047";"0,0739";"0,0519";"0,0379";"0,4367";"0,0519";"0,08";"0,1214";"0,1067";"0,0929";"0,0519";;"0,2087";"0,1291";"0,382";"0,9178";"0,8778";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0
60436195;1;01/10/2015;;1;1;"1,2689";;;14;;0;0;0;;0;"0,047";"0,0423";"0,0337";"0,0337";"0,0423";"0,0423";"0,0423";"0,0423";"0,0423";"0,0423";"0,0337";"0,026";"0,026";"0,4227";"0,4227";"0,026";"0,026";"0,026";"0,026";;;;;;"0,0624";"0,4089";"0,1894";"0,0739";"0,0739";"0,2609";"0,199";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1
60436195;1;01/09/2015;;1;1;"29,1855";"0,026";"0,315";27;27;0;0;1;;0;"0,0519";"0,0423";"0,0423";"0,0337";"0,0337";"0,0337";"0,0337";"0,0337";"0,0519";"0,0519";"0,0519";"0,0519";"0,0929";"0,0519";"0,0519";"0,0519";"0,0519";"0,0423";"0,0423";"0,0423";"0,0423";"0,0337";"0,0337";"0,0337";"0,0337";"0,0337";"8,0107";"0,0423";"0,057";"0,1894";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/08/2015;;1;1;"0,0996";"0,0519";"0,0732";1;29;0;0;1;;0;"0,0996";"0,0996";"0,0996";"0,0996";"0,08";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0624";"0,0624";"0,0624";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0739";"0,0624";"0,0624";"0,0624";"0,057";"0,0519";"0,0519";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/11/2011;;1;1;"13,4936";"0,0996";"0,5635";27;4;0;0;1;;0;"0,1711";"0,1214";"0,1139";"0,1067";"0,0996";"0,0996";"0,0996";"0,199";"0,137";"0,3067";"0,1536";"0,1214";"0,1291";"0,1139";"0,1801";"0,1214";"0,1452";"0,1291";"0,1214";"0,1067";"0,199";"0,2289";"0,199";"0,1711";"3,2902";"0,8581";"6,8427";"1,222";"0,6388";"0,4801";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/10/2011;;1;1;;;;;;0;0;0;;0;"0,0727";"0,0727";"0,0915";"0,0915";"0,6872";"0,1783";"0,0983";"0,0787";"0,0983";"0,0983";"0,1199";"0,0915";"0,0915";"0,085";"0,085";"0,0915";"0,1124";"1,3359";;"0,2068";"0,2068";"0,1605";"0,1354";"0,1275";"0,1124";"0,1199";"0,1435";"0,1124";"0,1052";"0,0983";"0,1605";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/09/2011;;1;1;"0,1139";"0,0624";"0,0851";14;30;0;0;1;;0;"0,0929";"0,0929";"0,0929";"0,0739";"0,0739";"0,0739";"0,08";"0,08";"0,08";"0,0929";"0,0929";"0,0929";"0,0929";"0,1067";"0,0996";"0,0929";"0,0929";"0,0929";"0,0929";"0,0929";"0,08";"0,08";"0,08";"0,08";"0,0739";"0,08";"0,08";"0,0739";"0,0739";"0,068";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/08/2011;;1;1;"0,0361";"0,0205";"0,0273";1;28;0;0;1;;0;"0,0361";"0,0318";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0278";"0,0205";"0,0205";"0,0205";"0,0205";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/07/2011;;1;1;"0,1622";"0,0996";"0,1392";1;30;0;0;1;;0;"0,1622";"0,1622";"0,1622";"0,1622";"0,1622";"0,1622";"0,1622";"0,1622";"0,1622";"0,1622";"0,1452";"0,1452";"0,1452";"0,1452";"0,1452";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1291";"0,1214";"0,1139";"0,1139";"0,1139";"0,1067";"0,1067";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/06/2011;;1;1;"0,1084";"0,0675";"0,0872";5;26;0;0;1;;0;"0,0937";"0,0937";"0,0801";"0,0801";"0,1084";"0,0937";"0,0937";"0,0937";"0,0937";"0,1009";"0,1084";"0,1009";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0801";"0,0801";"0,0801";"0,0801";"0,0801";"0,0801";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/05/2011;;1;1;"0,2632";"0,0937";"0,134";1;27;0;0;1;;0;"0,2402";"0,1974";"0,1873";"0,1775";"0,1775";"0,1586";"0,1586";"0,1586";"0,1496";"0,1408";"0,1408";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1084";"0,1084";"0,1084";"0,1084";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/04/2011;;1;1;"7,474";"0,1974";"0,4643";5;26;0;0;1;;0;"0,4997";"0,4225";"0,4225";"0,4078";"2,8468";"1,0958";"0,6008";"0,4997";"0,3934";"0,6008";"0,5661";"0,4526";"0,3792";"0,3382";"0,3122";"0,2995";"0,2632";"0,2515";"0,2402";"0,2402";"0,2183";"0,2183";"0,2183";"0,2183";"0,2183";"0,1974";"0,1974";"0,1974";"0,6919";"0,4225";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/03/2011;;1;1;"5,7148";"0,6219";"1,0496";18;3;0;0;1;;0;"0,7084";"0,6907";"0,6388";"0,6907";"0,8977";"0,6732";"0,6219";"0,9381";"0,6732";"0,9794";"0,9381";"0,8194";"1,5944";"1,0646";"0,9794";"0,8003";"0,7084";"3,6363";"1,6209";"1,1759";"1,0864";"1,1759";"0,9586";"2,548";"0,8977";"0,9586";"0,8194";"0,7629";"0,8386";"0,8778";"0,7629";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/02/2011;;1;1;;;;;;0;0;0;;0;"0,1873";"0,1873";"0,1873";"0,1679";"0,2183";"0,2183";"0,2872";"0,2632";"0,3382";"0,5661";"0,3516";;;;"0,4838";"0,4838";"0,6919";"1,5899";"0,7894";"1,2674";"1,4784";"0,5661";"0,4997";"0,7302";"6,1987";"1,2674";"0,7694";"0,5661";;;;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
60436195;1;01/01/2011;;1;1;"1,4096";"0,3043";"0,5863";4;29;0;0;1;;0;"0,8542";"0,9137";"0,8937";"1,3849";"1,0387";"0,7965";"0,7049";"0,6697";"0,6872";"0,6186";"0,5856";"0,5535";"0,5535";"0,5695";"0,5378";"0,507";"0,4481";"0,4771";"0,5695";"0,6872";"0,5378";"0,4481";"0,42";"0,3927";"0,3663";"0,3284";"0,3284";"0,3284";"0,3284";"0,3284";"0,3163";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/12/2010;;1;1;"7,474";"0,2402";"0,9556";29;24;0;0;1;;0;"0,5833";"0,5159";"0,3122";"0,2632";"0,2632";"3,1171";"0,8097";"0,4225";"0,3251";"0,2872";"0,275";"0,3653";"1,7349";"0,6365";"0,6008";"0,5661";"0,5324";"0,3251";"0,3934";"0,3516";"0,3516";"0,3516";"0,2632";"0,2402";"2,2741";"3,8236";"1,2674";"1,0723";"3,651";"2,7346";"0,9147";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60436195;1;01/11/2010;;1;1;"6,0886";"0,1241";"0,3669";22;19;0;0;1;;0;"0,1775";"0,3122";"0,2077";"0,3251";"0,1679";"0,2077";"0,3516";"0,4078";"0,2402";"0,2515";"0,1496";"0,1873";"0,2291";"0,4526";"0,2872";"0,2402";"0,1873";"0,1974";"0,1408";"0,1775";"0,1586";"2,2404";"1,049";"0,2995";"0,2402";"0,2077";"0,2995";"0,3382";"0,7109";"0,5661";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/10/2010;;1;1;"3,3994";"0,0455";"0,1193";27;8;0;0;1;;0;"0,0737";"0,0868";"0,1009";"0,0675";"0,0675";"0,056";"0,0616";"0,0506";"0,0506";"0,0506";"0,0506";"0,0506";"0,0616";"0,0455";"0,0506";"0,0506";"0,0616";"0,0506";"0,056";"0,056";"0,056";"0,0937";"0,0616";"0,0616";"0,1974";"0,1241";"1,3709";"0,2291";"0,1241";"0,0937";"0,0868";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/09/2010;;1;1;"0,056";"0,0361";"0,0448";4;17;0;0;1;;0;"0,0455";"0,0455";"0,0455";"0,0506";"0,0506";"0,0506";"0,0506";"0,0506";"0,0506";"0,0506";"0,0506";"0,0506";"0,0455";"0,0455";"0,0455";"0,0455";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";"0,0407";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/08/2010;;1;1;"0,0675";"0,0455";"0,0612";1;26;0;0;1;;0;"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0675";"0,0616";"0,056";"0,056";"0,056";"0,056";"0,056";"0,0455";"0,0455";"0,0455";"0,0455";"0,0455";"0,0455";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/07/2010;;1;1;"0,1084";"0,0675";"0,0901";1;29;0;0;1;;0;"0,1084";"0,1084";"0,1009";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0937";"0,0868";"0,0801";"0,0801";"0,0801";"0,0801";"0,0801";"0,0801";"0,0737";"0,0737";"0,0737";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/06/2010;;1;1;"0,1586";"0,1084";"0,1326";1;24;0;0;1;;0;"0,1586";"0,1586";"0,1586";"0,1586";"0,1586";"0,1586";"0,1586";"0,1496";"0,1408";"0,1408";"0,1408";"0,1323";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1241";"0,1161";"0,1161";"0,1161";"0,1161";"0,1161";"0,1084";"0,1084";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/05/2010;;1;1;"0,2872";"0,1586";"0,215";1;27;0;0;1;;0;"0,2872";"0,2872";"0,2632";"0,2872";"0,2872";"0,2515";"0,2402";"0,2402";"0,2402";"0,2402";"0,2402";"0,2402";"0,2402";"0,2183";"0,2183";"0,2183";"0,1974";"0,1974";"0,1974";"0,1974";"0,1873";"0,1775";"0,1775";"0,1775";"0,1775";"0,1775";"0,1679";"0,1586";"0,1586";"0,1586";"0,1586";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/04/2010;;1;1;"3,4823";"0,2872";"0,6527";2;29;0;0;1;;0;"1,6184";"2,1408";"1,1678";"1,1678";"1,0958";"0,9147";"0,8932";"0,7694";"0,7109";"0,6547";"0,6365";"0,5833";"0,5491";"0,5159";"0,5159";"0,4681";"0,4526";"0,4681";"0,4838";"0,4225";"0,3934";"0,3792";"0,3516";"0,3382";"0,3251";"0,3382";"0,3382";"0,3122";"0,2872";"0,2872";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
