Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:60436195


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
60436195;1;11/11/2016;01/01/1900 16:12;7;"32,0";"0,156";"0,37";"3,4";"0,4215";"0,1088";;
60436195;1;09/09/2016;01/01/1900 14:02;6;"30,0";"0,094";"0,294";"3,4";"0,3198";"0,0865";;
60436195;1;19/07/2016;01/01/1900 15:50;5;"33,5";"0,1601";"0,4425";"3,8";"0,3619";"0,1164";;
60436195;1;10/05/2016;01/01/1900 15:55;4;"36,0";"0,2488";"0,838";"3,4";"0,2969";"0,2465";;
60436195;1;10/03/2016;01/01/1900 15:06;3;"80,0";"2,2672";"2,543";"4,3";"0,8915";"0,5914";;
60436195;1;08/01/2016;01/01/1900 13:09;2;"38,5";"0,3779";"0,9065";"3,6";"0,4169";"0,2518";;
60436195;1;18/11/2015;01/01/1900 13:47;1;"28,0";"0,1366";"0,54";"3,7";"0,253";"0,1459";;
60436195;1;14/08/2014;01/01/1900 13:38;54;"39,0";"0,2091";"0,8175";"3,6";"0,2557";"0,2271";;
60436195;1;26/03/2013;01/01/1900 13:17;53;"89,0";"2,2842";"2,272";"3,5";"1,0054";"0,6491";;
60436195;1;22/02/2013;01/01/1900 14:47;52;"50,0";"0,5235";"1,118";"3,0";"0,4682";"0,3727";;
60436195;1;23/01/2013;01/01/1900 14:08;51;"69,0";"0,9926";"1,669";"3,2";"0,5948";"0,5216";;
60436195;1;18/12/2012;01/01/1900 12:45;50;"49,0";"0,4189";"0,9495";"3,3";"0,4412";"0,2877";;
60436195;1;21/11/2012;01/01/1900 16:03;49;"52,0";"0,576";"0,7945";"2,7";"0,725";"0,2943";;
60436195;1;22/10/2012;01/01/1900 13:34;48;"30,0";"0,0495";"0,177";"2,0";"0,2796";"0,0885";;
60436195;1;21/09/2012;01/01/1900 14:10;47;"33,0";"0,0814";"0,39";"2,9";"0,2086";"0,1345";;
60436195;1;22/08/2012;01/01/1900 14:27;46;"33,0";"0,1105";"0,3045";"3,2";"0,3627";"0,0952";;
60436195;1;14/07/2012;01/01/1900 10:24;45;"37,0";"0,1643";"0,5735";"2,9";"0,2866";"0,1978";;
60436195;1;21/06/2012;01/01/1900 12:48;44;"40,0";"0,2089";"0,6505";"2,9";"0,3212";"0,2243";;
60436195;1;22/05/2012;01/01/1900 13:32;43;"44,0";"0,2987";"0,7995";"2,9";"0,3736";"0,2757";;
60436195;1;23/04/2012;01/01/1900 12:02;42;"50,0";"0,3886";"0,8955";"2,9";"0,4339";"0,3088";;
60436195;1;21/03/2012;01/01/1900 13:42;41;"59,0";"0,7039";"1,2387";"3,15";"0,5682";"0,3933";;
60436195;1;23/02/2012;01/01/1900 12:50;40;"58,0";"0,5229";"1,048";"3,0";"0,499";"0,3493";;
60436195;1;26/01/2012;01/01/1900 15:50;39;"99,5";"2,407";"2,2005";"3,3";"1,0938";"0,6668";;
60436195;1;23/12/2011;01/01/1900 17:01;38;"62,0";"0,8237";"1,2345";"3,1";"0,6673";"0,3982";;
60436195;1;11/12/2011;01/01/1900 10:03;31;"46,0";"0,374";"0,85";"3,0";"0,44";"0,28";;
60436195;1;22/11/2011;01/01/1900 14:55;37;"45,0";"0,3303";"0,7905";"3,1";"0,4178";"0,255";;
60436195;1;11/11/2011;01/01/1900 12:25;30;"38,0";"0,169";"0,596";"3,1";"0,284";"0,19";;
60436195;1;28/10/2011;01/01/1900 12:40;36;"36,0";"0,1078";"0,4395";"3,0";"0,2453";"0,1465";;
60436195;1;09/10/2011;01/01/1900 14:00;29;"36,0";"0,132";"0,52";"3,1";"0,254";"0,17";;
60436195;1;26/09/2011;01/01/1900 14:34;35;"33,0";"0,083";"0,3395";"3,1";"0,2444";"0,1095";;
60436195;1;03/09/2011;01/01/1900 09:21;28;"33,0";"0,085";"0,37";"3,0";"0,231";"0,2";;
60436195;1;13/08/2011;01/01/1900 10:19;27;"34,0";"0,112";"0,391";"3,0";"0,286";"0,13";;
60436195;1;12/08/2011;01/01/1900 14:14;34;"34,0";"0,0817";"0,259";"3,0";"0,3156";"0,0863";;
60436195;1;27/07/2011;01/01/1900 11:32;33;"34,0";"0,1008";"0,31";"3,0";"0,3251";"0,1033";;
60436195;1;23/07/2011;01/01/1900 11:19;26;"36,0";"0,156";"0,383";"3,1";"0,407";"0,12";;
60436195;1;14/06/2011;01/01/1900 12:56;32;"40,0";"0,2039";"0,6068";"3,05";"0,3361";"0,1989";;
60436195;1;05/06/2011;01/01/1900 11:16;25;"41,0";"0,219";"0,635";"3,0";"0,346";"0,06";;
60436195;1;25/05/2011;01/01/1900 07:48;24;"42,0";"0,281";"0,744";"3,1";"0,377";"0,24";;
60436195;1;19/05/2011;01/01/1900 14:17;31;"42,0";"0,2718";"0,7055";"3,1";"0,3853";"0,2276";;
60436195;1;20/04/2011;01/01/1900 12:37;30;"48,0";"0,4147";"0,8735";"3,2";"0,4748";"0,273";;
60436195;1;16/04/2011;01/01/1900 15:18;23;"50,0";"0,466";"0,997";"3,2";"0,468";"0,31";;
60436195;1;24/03/2011;01/01/1900 13:19;29;"63,0";"0,8076";"1,151";"3,6";"0,7017";"0,3197";;
60436195;1;03/03/2011;01/01/1900 10:20;22;"58,0";"0,681";"1,095";"3,2";"0,622";"0,34";;
60436195;1;23/02/2011;01/01/1900 14:07;28;"58,0";"0,7154";"1,127";"3,1";"0,6348";"0,3635";;
60436195;1;20/02/2011;01/01/1900 13:42;21;"58,0";"0,732";"1,112";"3,1";"0,658";"0,36";;
60436195;1;20/01/2011;01/01/1900 11:35;20;"58,0";"0,648";"1,087";"3,1";"0,596";"0,351";;
60436195;1;20/01/2011;01/01/1900 11:42;27;"58,0";"0,6442";"1,09";"3,1";"0,591";"0,3516";;
60436195;1;27/12/2010;01/01/1900 13:57;26;"75,5";"1,6346";"1,728";"3,4";"0,946";"0,5082";;
60436195;1;05/12/2010;01/01/1900 13:57;19;"47,0";"0,309";"0,676";"3,2";"0,457";"0,21";;
60436195;1;22/11/2010;01/01/1900 11:52;25;"45,0";"0,2041";"0,599";"3,1";"0,3407";"0,1932";;
60436195;1;15/11/2010;01/01/1900 10:56;18;"48,0";"0,284";"0,797";"3,1";"0,356";"0,257";;
60436195;1;26/10/2010;01/01/1900 14:16;17;"44,0";"0,184";"0,68";"3,1";"0,271";"0,22";;
60436195;1;26/10/2010;01/01/1900 14:22;24;"44,0";"0,1835";"0,6805";"3,1";"0,2696";"0,2195";;
60436195;1;29/09/2010;01/01/1900 12:52;23;"37,0";"0,0657";"0,3275";"3,0";"0,2007";"0,1092";;
60436195;1;25/08/2010;01/01/1900 12:40;22;"37,0";"0,0904";"0,486";"3,0";"0,1861";"0,162";;
60436195;1;22/08/2010;01/01/1900 08:52;16;"38,0";"0,106";"0,5008";"3,1";"0,211";"0,162";;
60436195;1;23/07/2010;01/01/1900 11:36;21;"39,0";"0,1343";"0,539";"3,1";"0,2492";"0,1739";;
60436195;1;18/07/2010;01/01/1900 13:38;15;"40,0";"0,157";"0,587";"3,1";"0,267";"0,19";;
60436195;1;29/06/2010;01/01/1900 12:01;20;"41,0";"0,1769";"0,666";"3,2";"0,2655";"0,2081";;
60436195;1;19/06/2010;01/01/1900 14:10;14;"42,0";"0,167";"0,591";"3,1";"0,283";"0,191";;
60436195;1;27/05/2010;01/01/1900 12:42;19;"44,5";"0,2582";"0,674";"3,1";"0,383";"0,2174";;
60436195;1;11/05/2010;01/01/1900 17:25;13;"49,0";"0,363";"0,805";"3,0";"0,451";"0,268";;
60436195;1;27/04/2010;01/01/1900 13:03;18;"53,0";"0,4683";"0,903";"3,2";"0,5186";"0,2822";;
60436195;1;01/04/2010;01/01/1900 15:46;11;"101,0";"2,755";"20644,0";"4,0";"1,042";"0,661";;
60436195;1;01/04/2010;01/01/1900 16:05;12;"99,0";"2,778";"2,445";"4,0";"0,136";"0,611";;
60436195;1;01/04/2010;01/01/1900 16:05;12;"99,0";"2,78";"2,44";"4,0";"1,136";"0,61";;
60436195;1;01/04/2010;01/01/1900 15:46;11;"101,0";"2,76";"2,64";"4,0";"1,042";"0,66";;
60436195;1;19/03/2010;01/01/1900 12:23;17;"74,0";"1,2664";"1,5795";"3,3";"0,8017";"0,4786";;
60436195;1;25/02/2010;01/01/1900 10:33;16;"58,0";"0,5342";"0,994";"3,1";"0,5374";"0,3206";;
60436195;1;14/02/2010;01/01/1900 13:00;10;"59,0";"0,614";"1,093";"3,2";"0,562";"0,641";;
60436195;1;27/01/2010;01/01/1900 14:00;15;"77,5";"1,3137";"1,8035";"3,45";"0,7284";"0,5228";;
60436195;1;16/01/2010;01/01/1900 08:44;9;"76,0";"1,459";"1,808";"3,5";"0,807";"0,517";;
60436195;1;01/12/2009;01/01/1900 09:48;8;"61,0";"0,614";"1,041";"3,1";"0,589";"0,336";;
60436195;1;15/11/2009;01/01/1900 11:49;7;"49,0";"0,347";"0,885";"3,1";"0,392";"0,285";;
60436195;1;16/10/2009;01/01/1900 11:40;14;"40,0";"0,124";"0,5417";"2,9";"0,2296";"0,187";;
60436195;1;06/10/2009;01/01/1900 11:40;6;"40,0";"0,124";"0,542";"2,9";"0,23";"0,187";;
60436195;1;24/09/2009;01/01/1900 10:51;13;"44,0";"0,189";"0,6795";"3,0";"0,2776";"0,227";;
60436195;1;12/09/2009;01/01/1900 10:59;5;"43,0";"0,161";"0,577";"3,0";"0,279";"0,192";;
60436195;1;27/08/2009;01/01/1900 13:05;12;"41,0";"0,146";"0,6696";"3,0";"0,218";"0,223";;
60436195;1;15/08/2009;01/01/1900 08:24;4;"40,0";"0,1205";"0,6066";"2,9";"0,1986";"0,209";;
60436195;1;20/07/2009;01/01/1900 11:53;3;"43,0";"0,173";"0,651";"3,0";"0,266";"0,22";;
60436195;1;20/07/2009;01/01/1900 11:53;11;"43,0";"0,174";"0,6475";"3,0";"0,2693";"0,216";;
60436195;1;19/06/2009;01/01/1900 14:22;10;"48,0";"0,29";"0,79";"3,0";"0,366";"0,27";;
60436195;1;11/06/2009;01/01/1900 12:33;2;"50,0";"0,3002";"0,8165";"3,05";"0,3677";"0,268";;
60436195;1;28/05/2009;01/01/1900 14:42;9;"52,0";"0,335";"0,86";"3,0";"0,389";"0,29";;
60436195;1;16/05/2009;01/01/1900 14:10;1;"71,0";"0,9745";"1,3845";"3,2";"0,975";"0,433";;
60436195;1;17/04/2009;01/01/1900 09:48;8;"70,0";"0,947";"1,41";"3,3";"0,67";"0,43";;
60436195;1;27/03/2009;01/01/1900 15:11;7;"68,0";"0,783";"1,23";"3,2";"0,634";"0,39";;
60436195;1;27/02/2009;01/01/1900 13:42;6;"54,0";"0,404";"0,82";"2,9";"0,491";"0,28";;
60436195;1;26/01/2009;01/01/1900 16:30;5;"80,0";"1,317";"1,92";"4,14";"0,687";"0,47";;
60436195;1;10/12/2008;01/01/1900 13:01;4;"45,0";"0,153";"0,58";"3,1";"0,263";"0,19";;
60436195;1;26/11/2008;01/01/1900 13:30;3;"43,0";"0,135";"0,55";"3,1";"0,246";"0,18";;
60436195;1;22/10/2008;01/01/1900 13:45;2;"41,0";"0,079";"0,3";"2,8";"0,263";"0,11";;
60436195;1;16/09/2008;01/01/1900 09:45;1;"44,0";"0,089";"0,51";"3,0";"0,174";"0,17";;
